,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
47,"Co-op - Development Sciences, Informatics - Data Analytics",Genentech,"San Francisco, CA",4.2,296,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Normal,98000.0,197000.0,USD,Data Science,,Data Analyst
48,Data Scientist,Tubi,"San Francisco, CA",4.0,19,51 to 200 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Normal,86000.0,190000.0,USD,Data Science,,Data Science
49,"Senior Data Scientist - Analytics, Airbnb.org",Airbnb,"San Francisco, CA",4.4,334,5001 to 10000 Employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Senior,118000.0,210000.0,USD,Data Science,,Data Analyst
50,Senior Data Scientist,PROLIM Corporation,"San Francisco, CA",3.3,48,201 to 500 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),Senior,101000.0,188000.0,USD,Data Science,,Data Science
51,Head of Messaging & Experience Data Science,Discord,"San Francisco, CA",4.6,62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),Normal,83000.0,193000.0,USD,Data Science,,Data Science
52,Statistical Analyst (REMOTE) - Long Term Contract - SF Bay Area Only,"Artizen, Inc.","San Francisco, CA",4.5,3,51 to 200 Employees,1991,Company - Private,Consulting,Business Services,$10 to $25 million (USD),Normal,56000.0,135000.0,USD,Data Science,,Data Analyst
53,Data Scientist,TEKsystems,"Martinez, CA",4.0,1812,1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),Normal,166400.0,166400.0,USD,Data Science,,Data Science
54,"Senior Principal Data Scientist, Data Strategy-Telecommute",UnitedHealth Group,"San Francisco, CA",3.7,1756,10000+ Employees,1977,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),Senior,103000.0,175000.0,USD,Data Science,,Data Science
55,Data Scientist,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,80000.0,146000.0,USD,Data Science,,Data Science
56,Machine Learning Engineer,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,170000.0,190000.0,USD,Data Science,,Machine Learning
